,Scientific,Synonym,English,Dutch,Spanish,French,German,Italian,Count English,Count Dutch,Count Spanish,Count French,Count German,Count Italian,Origin,Distribution,"Annual, biennial, or perennial",Flowers,Leaves,Fruits,Climate and weather,Pollination,Height,Type of soil,Moisture,Light,Growth rate,Spacing (close range),Spacing (wide range),Propagation,Insect pests,Diseases,Nematodes,Harvesting,Uses,Evergreen or Deciduous,Plant,Fruit development,Blooming period,genus,family,order,crop_categories,Count of Crop Categories,proverbs,recipies
86,['Bertholletia excelsa'],[],Brazil nut,Paranoot,"Castaña de monte,Nuez amazónica,Nuez de Brasil","Noix bresilienne,Noix d’Amazonie,Noix du Brésil","Amazonenmandel,Paranuss,Paranussbaum","Noce amazzonica,Noce del Brasile",1,1,3,3,3,2,"Brazil, Amazon area.","Brazil nuts are found in the Amazonian rainforest, but there are also some plantations in the Amazon area.",,,,"The fruit is a large capsule with a diameter of 10 to 15 cm. The hard  woody shell is 8 to 12 mm thick. The fruit contains eight to 24 triangular seeds, which are 4 to 5 cm long; these are called the “Brazil nuts”.",Tropical rainforest climate.,Flowers are pollinated by a large species of bee. In plantations it is sometimes difficult to attract the right species of pollinators.,Trees are 25 to 50 meters tall.,,,,,,,Propagated by seed.,,,,"After pollination, the fruits takes 14-15 months to reach maturity. They are harvested by collecting them when they fall from the tree. The fruits are hard and must be opened with a machete to collect the nuts.",Brazil nuts are eaten fresh or may be used to extract oil. The oil is used for cooking or for making soaps.,,,,,Bertholletia,Lecythidaceae,Ericales,"Nuts,Edible seeds,Tropical crops",3,,
87,['Beta vulgaris'],[],Beet,Biet,Remolacha,Betterave,Rübe,Barbabietola,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Beta,Chenopodiaceae,Caryophyllales,"Vegetables,Leaf vegetables,Root vegetables,Food crops,Temperate crops,Forage and fodder crops",6,,
88,['Beta vulgaris vulgaris convar. cicla. var. cicla'],[],Spinach beet,"Groene snijbiet,Rode snijbiet,Snijbiet",,,"Beißkohl,Blatt-Mangold,Schnitt-Mangold",,1,3,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,Beta,Chenopodiaceae,Caryophyllales,"Vegetables,Leaf vegetables,Food crops,Temperate crops",4,,
89,['Beta vulgaris vulgaris convar. cicla. var. flaviscens'],[],"Chard,Swiss chard",Warmoes,Acelga,"Bette,Blette","Rippen-Mangold,Römischer Mangold,Stiel-Mangold",Bietola,2,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Beta,Chenopodiaceae,Caryophyllales,"Vegetables,Leaf vegetables,Food crops,Temperate crops",4,,
90,['Beta vulgaris vulgaris convar. vulgaris var. altissima'],[],Sugar beet,"Beetwortel,Suikerbiet",Remolacha azucarera,"Betterave à sucre,Betterave sucrière",Zuckerrübe,Barbabietola da zucchero,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Beta,Chenopodiaceae,Caryophyllales,"Vegetables,Root vegetables,Sugar crops,Energy crops,Food crops,Temperate crops,Forage and fodder crops,Alcohol production",8,,
91,['Beta vulgaris vulgaris convar. vulgaris var. crassa'],[],"Fodder beet,Mangel,Mangelwurzel,Mangold wurzel","Mangelwortel,Voederbiet",Remolacha azucarera,Betterave fourragère,Futterrübe,Barbabietola da zucchero,4,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Beta,Chenopodiaceae,Caryophyllales,"Vegetables,Root vegetables,Food crops,Temperate crops,Forage and fodder crops",5,,
92,['Beta vulgaris vulgaris convar. vulgaris var. vulgaris'],[],"Beetroot,Garden beet,Red beet,Table beet","Kroot,Rode biet",Remolacha,"Betterave potagère,Betterave rouge,Carotte rouge,Racine rouge","Rote Bete,Rote Rübe,Salat-Rübe",Barbabietola rossa,4,2,1,4,3,1,The beetroot is a variety of the beet which is native in the mediterranean area.,Beetroots are grown worldwide.,Beetroots are biennial plants but grown as annuals for their roots which are edible.,,"The leaves are glossy, with a mid-green color. They have bright red veins and dark red stalks, which originate from the root.",,Cultivated in a wide range of climates. Beetroot is grown as a warm season crop in temperate climates or during the cooler months in tropical climates.,Pollinated by wind and by insects,Some plants will be mature with a height of 10 cm but some varieties can reach 30 cm.,Beetroot like soil with pH of 6.5-7.5 and with good levels of phosphorous and potassium.,,The plants need a lot of sunlight.,,,,Propagation is done through seeds.,,,,Can be easily harvested by hand; grab the leaves and pull out the roots.,"The red roots can be grilled, boiled or roasted, but are also eaten cold as a salad (after cooking) dressed with some oil and vinegar. The roots can also be eaten raw and shredded. The leaves of beetroot are also edible (boiled or steamed) and taste a bit like spinach.Betanin, extreacted from beetroots, can be used as a red food colorant.",,,,,Beta,Chenopodiaceae,Caryophyllales,"Vegetables,Root vegetables,Food crops,Temperate crops",4,,
93,['Blighia sapida'],[],"Ackee,Akee,Akee apple,Vegetable brain",Aki,,"Akée,Aki","Ackee,Akee,Aki,Akipflaume",,4,1,0,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,Blighia,Sapindaceae,Sapindales,"Vegetables,Fruit vegetables,Food crops,Tropical crops",4,,
94,['Boehmeria nivea'],[],"China grass,Ramie,True ramie,White ramie",Ramie,Ramio,Ramie,"Chinagras,Ramie",Ramiè,4,1,1,1,2,1,Eastern Asia,"Main production is in China, followed by Japan, Taiwan, the Philippines, and Brazil.",Ramie is a herbaceous perennial plant.,,"Ramie has heart-shaped leaves, which are 7 to 15 cm long and 6 to 12 cm wide. Leave are white on the underside and covered with dense small hairs. Ramie is related to stinging nettles, but its hairs do not sting.",,Prefers a warm and humid climate with a lot of rainfall.,,The plants are 1 to 2.5 meters tall.,,,,,,,Usually propagated with cuttings from underground stems.,,,,"The plants can be harvested several times per year. They are harvested just before the plant starts flowering, by cutting just above the lateral roots.","The fibers of the inner bark of the stalks are used to produce textiles and products such as industrial sewing thread, packing materials, fishing nets, filter cloths and bio-plastics. Sometimes Ramie is grown as an ornamental plant.",,,,,Boehmeria,Urticaceae,Urticales,"Fiber crops,Ornamental plants,Temperate crops",3,,
95,['Borassus flabellifer'],[],"Asian palmyra palm,Cambodian palm,Ice apple,Palmyra palm,Sugar palm,Toddy palm",Suikerpalm,,Palmier de Palmyre,"Lontaropalme,Lontarpalme,Palmyrapalme",,6,1,0,1,3,0,,,,There are separate male and female trees. Male and female inflorescences are tapped to produce a sweet sap.,The crown of the tree is a cluster of leaves with a fan form.,,,,"The Palmyra palm is a large palm tree, usually 10 to 25 meters high, but sometimes growing up to 30 meters tall.",,,,"Especially when young, this is a very slow growing palm tree. It may take 20 years until the first harvest, but the tree can get more than a hundred years old.",,,,,,,Fruits are harvested by hand. Climb the tree and cut clusters of fruits with a hatchet or big knife.,"The pulp of the fruits is eaten fresh. From young inflorescences a sweet sap (toddy) can be harvested, which has a nice taste and can be concentrated to produce sugar. Other uses of the tree include the wood, for example for construction of houses, and the leaves, for example for making mats or hats.",,,,,Borassus,Arecaceae,Arecales,"Fruits,Sugar crops,Food crops,Tropical crops",4,,
96,['Borojoa patinoi'],[],Borojó,,Borojó,,,,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Borojoa,Rubiaceae,Gentianales,"Fruits,Medicinal plants,Aphrodisiacs,Food crops,Tropical crops",5,,
97,['Boswellia sacra'],['Boswellia carterii'],"Frankincense,Incense tree","Olibanum,Wierookboom",Árbol del incienso,Arbre à encens,"Arabischer Weihrauch,Somalischer Weihrauch",,2,2,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,Boswellia,Burseraceae,Sapindales,"Medicinal plants,Essential oils,Tropical crops",3,,
98,['Bouea macrophylla'],"['Bouea burmanica', 'Bouea gandaria']","Gandaria,Maprang,Marian plum,Plum mango",Gandaria,,,"Gandaria,Thai,Ma praang,Maprang,Somprang",,4,1,0,0,5,0,South east Asia, ,,,Leaves are ovate-oblong to lanceolate or elliptic.,"Small clusters of yellow-colored egg-shaped fruits with yellow to orange flesh and one big seed. Maprang fruits are oval, 3-7 cm long and look like a small mango.  Fruits are sour or sweet, depending on the variety.",Tropical lowlands. Requires a monsoon climate. Up to an altitude of 850 meter., ,20 to 25 meter,Prefers light fertile soils,,,,,,"Propagation is usually by seed, but can also be done by marcotting and grafting.",?,?,,Hand pick the fruits when ripe on the tree.,"Ripe fruits are eaten fresh. Fruits can also be cooked in syrup or be used to make compote. Young fruits are used as an ingredient to make a special ""sambal"".",,,Fruits ripen (in Thailand) from March to May.,,Bouea,Anacardiaceae,Sapindales,"Fruits,Food crops,Tropical crops",3,,
99,['Brassica carinata'],[],"Abyssinian mustard,Ethiopian mustard,Other,Yabesha gomen (Ethiopian name)",,,,,,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Brassica,Brassicaceae,Brassicales,"Leaf vegetables,Vegetables",2,,
100,['Brassica juncea'],[],"Chinese mustard,Green mustard cabbage,Indian mustard,Leaf mustard,Mustard greens","Indische bruine mosterd,Sareptamosterd","Mostaza castaña,Mostaza china,Mostaza de hoja,Mostaza de la India","Moutarde brune,Moutarde chinoise","Brauner Senf,Chinesischer Senf,Indischer Senf,Ruten-Kohl,Sareptasenf",,5,2,4,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,Brassica,Brassicaceae,Brassicales,"Vegetable oils,Vegetables",2,,
101,['Brassica napobrassica'],[],"Neep,Rutabaga,Swede,Swedish turnip,Turnip,Yellow turnip",Koolraap,Nabicol,Rutabaga,"Erdkohlrabi,Gelbe Rübe,Kohlrübe,Steckrübe",Rutabaga,6,1,1,1,4,1,Scandinavia or Russia,"North-West Europe (Scandinavia, England, Scotland, Germany, Netherlands, etc.), Canada, USA, Australia.",Rutabagas are biennial plants but normally grown as an annual.,,Rutabaga greens are edible.,,Grows in temperate climates.,,Tops will be about 30 cm tall (12 inches).,,,,,,,"Grown from seed, usually by direct seeding.",,,,Rutabaga roots can be harvested when they are 8 to 13 cm in diameter.,The roots are edible and can be cooked in different ways. Leaves are used as a leaf vegetable.,,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Leaf vegetables,Root vegetables,Food crops,Temperate crops",5,,
102,['Brassica napus'],[],"Canola,Oilseed rape,Rape,Rapeseed","Canola,Koolzaad","Canola,Colza,Nabicol,Raps",Colza,Raps,,4,2,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Leaf vegetables,Vegetable oils,Energy crops,Food crops,Temperate crops,Industrial crops,Forage and fodder crops",8,,
103,['Brassica nigra'],[],Black mustard,Zwarte mosterd,"Ajenabe,Mostaza negra","Moutarde noire,Sénevé noir",Schwarzer Senf,Senape nera,1,1,2,2,1,1,Probably originates from the Mediterranean region of Europe.,Common in South Asia.,Black mustard is an annual plant.,Yellow flowers,,The small seeds are hard and vary in color from dark brown to black. They have a diamter of about 1 mm.,,,From 60 to 240 cm tall.,,,,,,,Black mustard is grown from seed.,,,,,The seeds are used as a spice or to produce oil which is used for cooking. Seeds can also be used to make mustard or piccalilli. Also the shoots and leaves of the plant are edible and can be eaten cooked as a vegetable.,,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Leaf vegetables,Spices,Medicinal plants,Vegetable oils,Food crops,Tropical crops,Subtropical crops",8,"It is like a grain of mustard seed, which, when sown on the ground, is the smallest of all the seeds on earth. (Bible, Mark 4:31)As keen as mustard (= very enthusiastic)Mustard after the meal. (Dutch proverb)",
104,['Brassica oleracea  var. acephala'],[],"Borecole,Kale",Boerenkool,,,Grünkohl,,2,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Leaf vegetables,Food crops,Temperate crops",4,,
105,['Brassica oleracea  var. botrytis'],[],Cauliflower,Bloemkool,Coliflor,Chou-fleur,Blumenkohl,,1,1,1,1,1,0,Cauliflower originates in the North-east of the Mediterranean region.,"Europe (Spain, France, etc.), Asia (India, China, Pakistan, Bangladesh, etc.), North America (USA, Mexico)",Annual,,,,Cauliflower prefers a cool moist climate.,Cauliflower is insect pollinated (requires cross pollination for seed production).,,"Cauliflower prefers soils that are well drained, moist and with high organic matter content.",,,,,,Grown form seed. Transplanting of seedlings.,"Aphids, Diamond back moth, Cabbage worms, Flea beetles.","Black rot, Club root, Some viral diseases.",,Harvest the developed heads by cutting the main stem. Cut heads before they are overmature.,"Cauliflower is eaten as a vegetable, either cooked, raw or pickled.",,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Flower vegetables,Food crops,Subtropical crops,Temperate crops",5,Cauliflower is nothing but cabbage with a college education. (Mark Twain),
106,['Brassica oleracea  var. capitata'],[],"Cabbage,Colewort,Head cabbage,Heading cabbage,Red cabbage,Savoy cabbage,White cabbage,Winter cabbage","Kool,Rode kool,Rodekool,Savooiekool,Savooikool,Spitskool,Witte kool","Col,Col de savoya,Col lombarda,Col morada,Lombarda,Repollo,Repollo morado","Chou,Chou cabus,Chou rouge","Kopfkohl,Rotkohl,Spitzkohl,Spitzkraut,Weißkohl,Weißkraut,Wirsingkohl",,8,7,7,3,7,0,"Cultivated cabbage is related to the wild mustard, which originates from the Mediterranean region.","Grows best in temperate climates. Large producers of cabbage are China, India, Russia, Korea and Japan.",Cabbage is a biennial plant but it is grown as an annual. For seed production it is biennial., ,The leaves are wrapped close together to form a “head”. Heads can have a weight between 0.5 and 3.5 kg.,,Prefers temperate climates. Some tropical countries also produce cabbage in hill areas and during the cooler seasons.,"Plants cannot self-pollinate, but are cross-pollinated by insects.",,Prefers well-drained soils.,?,Prefers to grow in full sun light.,,30 centimeters between plants,60 centimeters between plants,By seed.,"Many insects pests. Some important pests include the Cabbage whites (Small White: Pieris rapae, Large White Pieris brassicae), the Diamond-back moth (Plutella xylostella) and the Cabbage Webworm (Hellula undalis). But caterpillars of several other Lepidoptera can also feed on the plants. Other insect pests include aphids, cabbage flies, and flea beetles.","Several fungal diseases including Fusarium, Alternaria and Downy mildew. Bacterial diseases such as Black rot.",Root-knot nematodes.,Cut the stem just below the head.,Cabbage is often eaten raw (as salads) or cooked in various ways. It is often used in soups and stews. Sometimes it is pickled or can  be fermented to make sauerkraut or kimchi.,,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Leaf vegetables,Food crops,Temperate crops",4,"A louse in the cabbage is better than no meat at all.It’s no use boiling your cabbage twice.Cabbage: A vegetable about as large and wise as a man’s head. (Ambrose Bierce)This cabbage, these carrots, these potatoes, these onions … will soon become me. Such a tasty fact! (Mike Garofalo)",
107,['Brassica oleracea  var. gemmifera'],[],Brussels sprout,"Spruitjes,Spruitkool",Coles de Bruselas,Chou de Bruxelles,"Kohlsprossen,Rosenkohl,Sprossenkohl",Cavolini di Bruxelles,1,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Leaf vegetables,Food crops,Temperate crops",4,,
108,['Brassica oleracea  var. gongylodes'],[],"German turnip,Kohlrabi",Koolrabi,,Chou-rave,"Kohlrabi,Oberkohlrabi,Oberrübe,Rübkohl,Stängelrübe",,2,1,0,1,5,0,Northern Europe,"Europe (especially in Germany, Netherlands), South and South-East Asia (India, Bangladesh, Vietnam, etc.)","Kohlrabi is a biennial plant but cultivated as an annual. If not harvested, in the second year the plant will flower and produce seed.",,,,Grows in temperate climates.,,Kohlrabi can grow 25 to 40 cm tall.,,,,,,,Grow from seed by direct seeding or transplanting.,,,,"Harvest kohlrabi stems when they are about 7 to 10 cm in diameter, which is when they are still tender. Cut them from the base of the plant. Leaves can be removed and can also be used as a vegetable.",Kohlrabi is a stem vegetable. The enlarged stem is eaten cooked or raw. Leaves are also edible and can be used as a leaf vegetable. Some varieties of kohlrabi are grown as cattle feed.,,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Stem vegetables,Food crops,Temperate crops,Leaf vegetables,Forage and fodder crops",6,,
109,['Brassica oleracea  var. italica'],[],Broccoli,Broccoli,"Brécol,Brócoli,Bróculi",Brocoli,"Broccoli,Brokkoli",Broccolo,1,1,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Flower vegetables,Food crops,Temperate crops",4,,
110,['Brassica rapa  var. rapa'],['Brassica campestris esculenta'],"Turnip,White turnip","Consumptieraap,Herfstknol,Herfstraap,Knol,Knolraap,Meiknolletje,Meiraap,Raap,Stoppelknol,Tol",,Navet,"Rübe,Speiserübe",Rapa,2,10,0,1,2,1,Probably originates from West Asia and Europe. Turnip was first domesticated in India for its oil-bearing seeds.,Temperate regions worldwide.,Turnip is a biennial plant. The root develop the first year and the plant flowers in the second year.,,Turnip leaves are sometimes eaten as “turnip greens”.,,Cultivated in temperate climate.,,,,,,,,,Turnips are grown from seeds.,,,,,The roots of some smaller varieties are used for human consumption. Bigger varieties are used as feed for animals. Leaves are edible and used as a leaf vegetable called “turnip greens”.,,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Root vegetables,Vegetable oils,Food crops,Leaf vegetables,Forage and fodder crops",6,,
111,['Brassica rapa subsp. chinensis'],['Brassica chinensis'],"Bok choi,Bok choy,Chinese cabbage,Pak choi,Pak choy",Paksoi,"Bok choy,Col china,Pak choy","Bok choy,Chou de Chine,Pak choi",,,5,1,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Leaf vegetables,Food crops,Temperate crops",4,,
112,['Brassica rapa subsp. pekinensis'],['Brassica pekinensis'],"Celery cabbage,Chinese cabbage,Napa cabbage",Chinese kool,,"Chou chinois,Chou de Pékin,Pe-tsaï","Chinakohl,Japankohl,Pekingkohl,Selleriekohl",,3,1,0,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,Brassica,Brassicaceae,Brassicales,"Vegetables,Leaf vegetables,Food crops,Temperate crops",4,,
113,['Bunium persicum'],"['Bunium bulbocastanum', 'Carum bulbocastanum']","Black cumin (Bunium persicum),Earth chestnut,Great pignut",Aardkastanje,Comino negro,,"Gewöhnliche Erdkastanie,Gewöhnlicher Knollenkümmel",Cumino nero,3,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,Bunium,Apiaceae,Apiales,"Medicinal plants,Root vegetables,Spices",3,,
114,['Byrsonima crassifolia'],[],"Craboo,Golden spoon,Kraabu,Nance,Savanna serret,Savanna serrette",Nance,Nance,,,,6,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Byrsonima,Malpighiaceae,Malpighiales,"Fruits,Food crops,Tropical crops,Subtropical crops",4,,
115,['Cajanus cajan'],['Cajanus indicus'],"Congo pea,Gandule bean,Gunga pea,No-eye pea,Pigeon pea,Red gram,Toor dal,Tropical green pea",Duivenerwt,"Frijol de palo,Gandul,Guandul","Pois cajan,Pois Congo,Pois d’Angole",Straucherbse,Caiano,8,1,3,3,1,1,Pigeon pea originates from India.,"Highest production of pigeon pea is in the Indian subcontinent, eastern Africa and Central America.",Pigeon pea is a perennial plant. It will last about 5 years.,"The flowers grow along slender stalks of 2 to 7 cm long, which emerge from the leaf axils. There are usually 6 to 12 flowers per stalk. Flowers are bright yellow and have reddish-brown markings on the back side of the petals.","Trifoliate leaves. The central leaflet is longer than the side leaflets. The leaves are green and have a velvety upper surface. The underside of the leaves are silvery green and are covered with whitish hairs. The leaves have small, yellowish glands which give them golden hue.",The pods are 4 to 10 cm long and 0.8 to 1.5 cm wide. Pods contain 4 to 7 reddish-brown ovoid seeds.,"Pigeon peas requires a warm climate, but can survive with relatively low amounts of water. It does well in the semiarid tropical and subtropical climates.",Pigeonpea is often cross-pollinated by bees.,A shrub of 1 to 3 meter tall.,,,,,,,Pigeon pea is grown from seed.,,,,Hand picking the pods. Pick the pods green for fresh peas or leave the pods on the plant to dry.,"Pigeon peas are often used dried, canned or ground for flour. In India they are mixed with lentils to make ‘daal’ (also spelled dal, dahl or dhal).Leaves, flowers, seed pods and seed are used as a nutitious animal fodder.Pigeon pea is also widely used as a cover crop, for green manure, and as an inter crop with other crops such as sorghum and maize.",,Pigeon pea usually grows as a small shrub or small tree.,,,Cajanus,Fabaceae,Fabales,"Vegetables,Podded vegetables,Food crops,Legumes",4,,
116,['Calendula officinalis'],[],Pot marigold,"Calendula,Goudsbloem","Botón de oro,Caléndula,Corona de rey",Souci officinal,Ringelblume,"Calendola,Fiorrancio",1,2,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,Calendula,Asteraceae,Asterales,"Herbs,Medicinal plants,Essential oils,Temperate crops",4,,
117,['Camelina sativa'],[],"Camelina,False flax,Gold-of-pleasure,Linseed dodder,Wild flax","Dederzaad,Huttentut,Vlasdodder,Vlasdotter",,Cameline,"Dotterlein,Leindotter,Saat-Leindotter",,5,4,0,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,Camelina,Brassicaceae,Brassicales,"Vegetable oils,Energy crops,Temperate crops,Forage and fodder crops",4,,
118,['Camellia sinensis'],[],"Tea,Tea plant,Tea shrub,Tea tree","Thee,Theeplant",Planta del té,"Arbre à thé,Thé,Thé vert,Théier","Tee,Teepflanze",Pianta del tè,4,2,1,4,2,1,Tea originates from East and Southeast Asia. The name ‘sinensis’ means ‘from China’.,Tea is cultivated worldwide in tropical and subtropical areas.,Tea is a perennial evergreen plant.,,The leaves are 4 to 15 cm long and 2 to 5 cm wide.,,"Tea is cultivated in tropical and subtropical climates, but preferable in the cooler (i.e. higher) areas.In the tropics often around 1500 m altitude.",,Tree can become a small tree but is usually trimmed to below 2 m.  In plantations it is often grown as hedges that are waist height for easy plucking.,,,,,,,Tea is usually propagated by cuttings.,,,,"Tea is harvested by plucking young light green leaves and buds. The quality of teas depends on the age of leaves that are used. Usually, only the tip and the first two to three leaves are taken. Plucking is repeated frequently; weekly or every two weeks.","Tea leaves require some processing before they can be used to make tea. Processing involves different methods, which differ in the degree of oxidation of the leaves, drying methods, etc. Different types of processing can produce different types and tastes of tea.",,,,,Camellia,Theaceae,Ericales,"Medicinal plants,Stimulants,Tropical crops",3,,
119,['Cananga odorata'],[],"Fragrant cananga,Perfume tree,Ylang-ylang tree","Cananga-olie,Ylang-ylang","Flor de cananga,Ylang-ylang",Ylang-ylang,Ylang-Ylang,Ylang-ylang,3,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Cananga,Annonaceae,Magnoliales,Essential oils,1,,
120,['Canavalia ensiformis'],[],"Common jack bean,Ensiform bean,Giant stock bean,Jack bean,Wonder bean",Zwaardboon,,Haricot sabre,"Jackbohne,Madagaskarbohne,Riesenbohne,Schwertbohne,Portuguese,Feijão-de-porco",,5,1,0,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,Canavalia,Fabaceae,Fabales,"Forage and fodder crops,Legumes,Tropical crops",3,,
121,['Cannabis sativa'],['Cannabis indica'],"Cannabis,Marihuana,Marijuana","Hasj,Hasjiesj,Marihuana,Wiet","Cannabis,Marihuana","Cannabis,Chanvre","Hanfpflanze,Marihuana",Marijuana,3,4,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis,Cannabaceae,Rosales,"Medicinal plants,Industrial crops,Subtropical crops",3,,
122,['Cannabis sativa subsp. indica'],[],"Hemp,Industrial hemp",Hennep,"Cáñamo,Cannabis",,Hanf,,2,1,2,0,1,0,Hemp originates from Central and South Asia.,"China and France are the biggest producer. Other countries that produce hemp include Australia, Austria, Ukraine, Chili, Hungary, Canada, Russia, Romania, Poland, Netherlands, etc.",Annual,,,,"Hemp prefers a temperate mild climate, with humid atmosphere.",,Hemp plants can be up to 5 meters tall.,,,,,,,Grown from seed.,,,,Small plots can be harvested by hand by cutting the plants 2 to 3 cm above the soil. Large fields are usually harvested with special machines.,"Industrial hemp is mainly used for the production of paper, textiles and clothing, insulation materials, biodegradable plastics, bio-fuel, and animal feed.",,,,,Cannabis,Cannabaceae,Rosales,"Fiber crops,Subtropical crops,Industrial crops,Alcohol production",4,,
123,['Capparis spinosa'],[],Caper,"Kappertje,Kappertjesplant",Alcaparro,"Câpre,Câprier","Echte Kapernstrauch,Kaper",Cappero,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,Capparis,Capparaceae,Brassicales,"Spices,Medicinal plants,Subtropical crops",3,,
124,['Capsicum annuum'],[],"Bell pepper,Bird pepper,Capsicum,Cayenne,Chili pepper,Cow horn pepper,Green pepper,Guinea spice,Hot chili pepper,Jalapeño,Red pepper,Sweet pepper","Cayennepeper,Chilipeper,Paprika,Rode peper,Spaanse peper",,"Piment,Poivron","Paprika,Other,Peperoni",,12,5,0,2,3,0,Mexico,Bell peppers are found worldwide in areas with suitable (tropical or warm) climate.,Bell peppers are grown as an annual plant.,Flowers develop about 3 months after planting. Flowers are white.,,"Depending on the cultivar, ripe bell pepper fruits can be red, yellow, orange, purple or green.",Requires a warm (tropical) climate. Cannot tolerate frost. Bell peppers like hot and dry weather for fruit ripening.,Pollination by bees.,,,,,,,,Direct seeding or transplanting.,"Various aphids, Thrips, Fruit fly, American bollworm (Helicoverpa armigera)","Phytophthora blight, Bacterial spot, Bacterial wilt, Various virus diseases.",,Fruits are picked by hand when green or ripe.,"Bell peppers can be eaten raw, for example in salads, or cooked, for example in stir-fried dishes.",,,"Fruits are first green, when ripening they turn yellow, orange or red.",,Capsicum,Solanaceae,Solanales,"Vegetables,Fruit vegetables,Herbs,Spices,Stimulants,Food crops,Tropical crops,Subtropical crops",8,,A perfect sweet pepper recipe is: Roasted sweet pepper rolls in tomato sauce
125,['Capsicum baccatum'],[],"Ají,Bishop’s crown,Brazilian starfish,Lemon drop,Peppadew,Wild baccatum",Aji,"Ají amarillo,Ají escabeche",Piment,,,6,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Capsicum,Solanaceae,Solanales,"Vegetables,Fruit vegetables,Herbs,Spices,Stimulants,Food crops,Tropical crops,Subtropical crops",8,,
126,['Capsicum chinense'],[],"Datil pepper,Fatalii,Habanero chili,Madame Jeanette,Scotch bonnet,Yellow lantern chili",,"Ají limo,Ají panca,Habanero",Piment,Habanero,Habanero,6,0,3,1,1,1,Central America and Caribbeans,Tropical regions worldwide,"Perennial, but in cooler climates gown as an annual plant.",Small white flowers with five petals.,,"A lot of variation in fruit color and shape. Common colors are red, orange and yellow, but sometimes brown  fruits can be found.",Tropical and subtropical climates,,Some variation but often about 50 centimeters.,,,,,,,Grown from seed,,,,Pick green or ripe fruits.,Habanero chilis are very hot. They are used as a herb or spice to add heat to dishes such as stews and sauces. Often they are used in Mexican food to prepare hot sauces and spicy salsas. The Madame Jeanette variety is commonly used in Surinamese cuisine.,,,,,Capsicum,Solanaceae,Solanales,"Vegetables,Fruit vegetables,Herbs,Spices,Stimulants,Food crops,Tropical crops,Subtropical crops",8,"Don’t be afraid of the chili pepper, even though it’s so red. (Mexican proverb)How can you be burnt by chilies which you have not eaten?Whoever eats chili gets burned.",
127,['Capsicum frutescens'],[],"Chili pepper,Malaguete pepper,Piri piri,Tabasco pepper,Thai pepper",Tabasco,,"Pili-pili,Piment",Tabasco,"Tabasco,Other,Barbaré",5,1,0,2,1,3,South or Central America,Tropical and subtropical refions of the world.,Grows as a annual or short-living perennial.,White flowers with a greenish white or greenish yellow corolla.,,"Fruits of C. frutescens usually grow erect. They are 1 to 2 centimeters long with a diameter of 3 to 7 millimeters. Fruits are usually first yellow and turn red when mature, but other colors are possible.",Tropical and subtropical,Can be insect pollinated or self pollinated.,,,,,,,,grown from seed,,,,Hand pick unripe or ripe fruits.,"Used fresh or dried and ground to a powder, which can be used in hot spicy dishes.",,,,,Capsicum,Solanaceae,Solanales,"Vegetables,Fruit vegetables,Herbs,Spices,Stimulants,Food crops,Tropical crops,Subtropical crops",8,,
